Camera_Sit,Season,GRIDCODE,FREQUENCY,SUM_Shape_Area,RADIUS,BufferArea,PERCENT COvER
W01,Winter,1,40,66196.54488,1000,3141592.654,2.107101467
W01,Winter,2,9,1929583.639,1000,3141592.654,61.42055486
W01,Winter,3,26,163066.2703,1000,3141592.654,5.190560595
W01,Winter,4,15,22987.41083,1000,3141592.654,0.731712012
W01,Winter,5,2,1540.648055,1000,3141592.654,0.049040351
W01,Winter,7,1,10440.89726,1000,3141592.654,0.332344082
W01,Winter,8,3,159254.7855,1000,3141592.654,5.069237263
W01,Winter,9,3,788519.097,1000,3141592.654,25.0993424
W02,Winter,1,70,137315.3806,1000,3141592.654,4.370884317
W02,Winter,2,27,1755143.51,1000,3141592.654,55.8679531
W02,Winter,3,70,420351.0395,1000,3141592.654,13.38018915
W02,Winter,4,4,4500,1000,3141592.654,0.143239449
W02,Winter,7,3,250647.8202,1000,3141592.654,7.978367913
W02,Winter,8,4,476259.4019,1000,3141592.654,15.1598076
W02,Winter,9,3,97372.475,1000,3141592.654,3.099462144
W03,Winter,1,52,527170.7605,1000,3141592.654,16.78036648
W03,Winter,2,36,1817278.126,1000,3141592.654,57.84575934
W03,Winter,3,48,137673.1138,1000,3141592.654,4.382271318
W03,Winter,4,12,13500,1000,3141592.654,0.429718346
W03,Winter,5,1,900,1000,3141592.654,0.02864789
W03,Winter,6,1,45083.35871,1000,3141592.654,1.435047878
W03,Winter,7,6,193133.5396,1000,3141592.654,6.1476315
W03,Winter,12,2,406850.9114,1000,3141592.654,12.95046673
W04,Winter,1,89,180259.7898,1000,3141592.654,5.737847318
W04,Winter,2,18,1886843.842,1000,3141592.654,60.06010485
W04,Winter,3,77,298884.0527,1000,3141592.654,9.513774879
W04,Winter,4,3,4500,1000,3141592.654,0.143239449
W04,Winter,7,9,725007.5324,1000,3141592.654,23.07770651
W04,Winter,8,1,20449.94213,1000,3141592.654,0.650941875
W04,Winter,13,1,25644.55558,1000,3141592.654,0.816291557
W05,Winter,1,64,548759.2229,1000,3141592.654,17.46754858
W05,Winter,2,56,1758275.254,1000,3141592.654,55.96763961
W05,Winter,3,45,336212.9432,1000,3141592.654,10.70199037
W05,Winter,4,7,14400,1000,3141592.654,0.458366236
W05,Winter,5,1,1800,1000,3141592.654,0.05729578
W05,Winter,6,1,49500,1000,3141592.654,1.575633937
W05,Winter,7,7,252068.2012,1000,3141592.654,8.023580044
W05,Winter,8,3,180574.3904,1000,3141592.654,5.747861366
W06,Winter,1,55,206600.6664,1000,3141592.654,6.576303462
W06,Winter,2,64,652062.9191,1000,3141592.654,20.75580736
W06,Winter,3,107,401910.8692,1000,3141592.654,12.7932203
W06,Winter,4,4,2683.844012,1000,3141592.654,0.085429408
W06,Winter,5,1,367.992128,1000,3141592.654,0.011713553
W06,Winter,7,10,680332.7634,1000,3141592.654,21.65566445
W06,Winter,8,6,48134.11357,1000,3141592.654,1.532156421
W06,Winter,12,2,1149496.523,1000,3141592.654,36.58961075
W07,Winter,1,21,37799.75993,1000,3141592.654,1.203203728
W07,Winter,2,34,196691.2724,1000,3141592.654,6.260877652
W07,Winter,3,74,248558.4685,1000,3141592.654,7.911861781
W07,Winter,4,2,6300,1000,3141592.654,0.200535228
W07,Winter,7,7,531551.6801,1000,3141592.654,16.91981548
W07,Winter,12,1,2075266.747,1000,3141592.654,66.05779222
W07,Winter,13,3,45422.07616,1000,3141592.654,1.445829589
W08,Winter,1,1,900,1000,3141592.654,0.02864789
W08,Winter,2,26,855962.7097,1000,3141592.654,27.24613927
W08,Winter,3,45,55536.92407,1000,3141592.654,1.767795198
W08,Winter,4,71,257520.684,1000,3141592.654,8.197137961
W08,Winter,5,33,105291.2489,1000,3141592.654,3.351524547
W08,Winter,6,1,24300,1000,3141592.654,0.773493023
W08,Winter,7,7,84600,1000,3141592.654,2.692901637
W08,Winter,8,7,598615.5281,1000,3141592.654,19.05452406
W08,Winter,9,12,499412.8994,1000,3141592.654,15.89680632
W08,Winter,12,1,659449.1475,1000,3141592.654,20.99091831
W09,Winter,1,134,689617.2219,1000,3141592.654,21.95119794
W09,Winter,2,40,1649491.02,1000,3141592.654,52.50492989
W09,Winter,3,40,201843.3984,1000,3141592.654,6.424874917
