CAMERA_DIS,CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
W01 250,W01,250,1965,196500,0.132156372,4.953903198,4.821746826,1.194291466,0.553758033
W02 250,W02,250,1965,196500,0.051239014,3.012542725,2.961303711,0.818173893,0.425049038
W03 250,W03,250,1963,196300,0.187011719,5.054641724,4.867630005,1.535753752,0.734889734
W04 250,W04,250,1971,197100,0.013412476,3.825515747,3.812103271,0.611917922,0.569091768
W05 250,W05,250,1960,196000,0.381286621,4.063812256,3.682525635,1.375379321,0.443369031
W06 250,W06,250,1963,196300,0.036956787,3.823318481,3.786361694,0.752966944,0.559772969
W07 250,W07,250,1963,196300,0.040985107,5.389816284,5.348831177,0.840222196,0.918974847
W08 250,W08,250,1962,196200,1.092727661,8.457290649,7.364562988,3.86570718,1.35271489
W09 250,W09,250,1970,197000,0.012802124,4.466369629,4.453567505,0.523163539,0.637481585
W10 250,W10,250,1972,197200,0.054580688,9.498840332,9.444259644,3.337493881,1.773474115
W11 250,W11,250,1962,196200,0.019546509,1.605484009,1.5859375,0.542484466,0.268820277
W12 250,W12,250,1968,196800,0.134460449,4.154052734,4.019592285,0.911051006,0.558376231
W13 250,W13,250,1965,196500,0.143005371,2.986541748,2.843536377,1.121269253,0.595613544
W14 250,W14,250,1958,195800,0.01625061,3.190368652,3.174118042,0.546182946,0.512102709
W15 250,W15,250,1964,196400,0.035552979,7.495452881,7.459899902,2.286675276,1.627333564
W16 250,W16,250,402,40200,0.043609619,1.755752563,1.712142944,0.724714327,0.624085663
W17 250,W17,250,1962,196200,0.003555298,2.163635254,2.160079956,0.888145245,0.463458862
W18 250,W18,250,1966,196600,0.148666382,3.501190186,3.352523804,0.960665791,0.467523639
W19 250,W19,250,1966,196600,1.52588E-05,4.223114014,4.223098755,0.663352819,0.855184255
W20 250,W20,250,1967,196700,0.254211426,2.222213745,1.968002319,1.013974553,0.359655529
W21 250,W21,250,1966,196600,0.862640381,3.579574585,2.716934204,1.812997191,0.706401047
W22 250,W22,250,1960,196000,0,2.552261353,2.552261353,0.602375786,0.679882312
W23 250,W23,250,1958,195800,0.014450073,2.821853638,2.807403564,1.007688396,0.511506555
W24 250,W24,250,1963,196300,0.033691406,3.718292236,3.68460083,1.419227371,0.7492463
W25 250,W25,250,1965,196500,0.399581909,2.509094238,2.109512329,1.310194424,0.328989177
W26 250,W26,250,1964,196400,0.585647583,6.94392395,6.358276367,3.176023845,1.182301639
W27 250,W27,250,1964,196400,0.037033081,2.193893433,2.156860352,0.493527694,0.358767635
W28 250,W28,250,1959,195900,0.477355957,19.38078308,18.90342712,4.281437561,3.664820328
W29 250,W29,250,1966,196600,0.291107178,3.630752563,3.339645386,1.093336049,0.392772505
W30 250,W30,250,1961,196100,0.003067017,1.894500732,1.891433716,0.155625152,0.216029442
W31 250,W31,250,1968,196800,0.012924194,10.24995422,10.23703003,3.029338116,2.263613927
W32 250,W32,250,1964,196400,0.085845947,5.087257385,5.001411438,0.994571177,0.907342184
W33 250,W33,250,1970,197000,0.166122437,3.040756226,2.874633789,1.10919978,0.677193764
W34 250,W34,250,1965,196500,0.186904907,7.122558594,6.935653687,2.080226605,1.3435691
W35 250,W35,250,1960,196000,0.378707886,9.241409302,8.862701416,3.908261552,1.692808144
W36 250,W36,250,1963,196300,0.039077759,5.989532471,5.950454712,1.574425533,1.235715014
W37 250,W37,250,1970,197000,0.55229187,3.597488403,3.045196533,1.513232174,0.487428963
W38 250,W38,250,1965,196500,0.045837402,6.420883179,6.375045776,0.965798904,1.262993926
W39 250,W39,250,1964,196400,0.214828491,4.030990601,3.816162109,1.814093883,0.747843118
W40 250,W40,250,1969,196900,0.097106934,3.427642822,3.330535889,1.70269646,0.632231352
