"site","Easting","Northing","start_date","end_date"
"SW-E1",328135,5955712,2009-07-20 01:51:00,2009-08-29 02:11:00
"SW-E10",361280,5939448,2009-07-27 09:37:00,2009-10-25 14:02:00
"SW-E2",349199,5937272,2010-07-30 01:30:00,2010-10-01 11:15:00
"SW-E3",403333,5952063,2010-07-30 06:26:00,2010-09-29 10:10:00
"SW-E4",336457,5984606,2010-07-15 15:11:00,2010-09-29 12:49:00
"SW-E5",325036,5956831,2009-08-10 13:51:00,2009-11-03 08:08:00
"SW-E6",396427,5957664,2010-08-02 13:03:00,2010-09-29 10:47:00
"SW-E8",374270,5937542,2009-07-22 13:28:00,2009-12-03 15:43:00
"SW-E9",380151,5924551,2009-07-29 15:54:00,2009-11-05 11:24:00
"SW-H10",400746,5941222,2010-07-15 00:29:00,2010-09-29 10:10:00
"SW-H2",333790,5980557,2009-07-17 11:12:00,2009-09-26 00:48:00
"SW-H3",349509,5954196,2009-07-15 09:54:00,2009-12-03 15:27:00
"SW-H4",391794,5934008,2010-07-14 16:17:00,2010-10-01 09:45:00
"SW-H5",377865,5942393,2009-07-20 17:56:00,2009-09-25 21:10:00
"SW-H6",303225,5975704,2009-07-18 16:31:00,2009-08-08 13:42:00
"SW-H7",309716,5934728,2010-07-28 10:52:00,2010-09-29 14:36:00
"SW-H8",381049,5928754,2009-07-29 17:36:00,2009-11-20 14:19:00
"SW-H9",329509,5958815,2010-08-11 00:44:00,2010-09-29 14:09:00
"SW-S1",318667,5921246,2009-08-08 10:00:00,2009-11-06 16:45:00
"SW-S10",340365,5934031,2010-07-23 05:43:00,2010-08-10 11:20:00
"SW-S11",353925,5938030,2010-07-30 11:29:00,2010-10-01 11:01:00
"SW-S12",365073,5939079,2009-07-23 19:43:00,2009-09-23 14:04:00
"SW-S13",378882,5939328,2009-07-22 14:15:00,2009-12-03 15:47:00
"SW-S14",390695,5942028,2010-07-23 13:58:00,2010-10-01 09:34:00
"SW-S16",327938,5947128,2009-08-06 08:54:00,2009-10-26 19:49:00
"SW-S17",340809,5949215,2010-08-06 07:31:00,2010-10-01 13:34:00
"SW-S18",352354,5950065,2009-07-13 19:05:00,2009-12-03 15:29:00
"SW-S2",331055,5920999,2009-07-27 16:23:00,2009-11-04 22:46:00
"SW-S21",390166,5953745,2009-08-07 14:30:00,2009-11-10 08:00:00
"SW-S22",399389,5956173,2010-08-13 07:57:00,2010-09-29 10:23:00
"SW-S23",313965,5959018,2009-07-23 22:03:00,2009-12-04 14:17:00
"SW-S24",326896,5959826,2009-07-25 15:10:00,2009-10-24 23:18:00
"SW-S25",337741,5960692,2009-07-10 18:14:00,2010-03-03 15:14:00
"SW-S3",355290,5925648,2009-07-30 06:23:00,2010-03-04 17:04:00
"SW-S4",366693,5927625,2009-07-28 16:47:00,2009-11-13 04:45:00
"SW-S5",379022,5927860,2010-07-21 13:28:00,2010-10-01 10:06:00
"SW-S6",389639,5932183,2010-08-03 15:54:00,2010-10-01 09:53:00
"SW-S7",404499,5930682,2010-07-27 03:09:00,2010-09-29 09:38:00
"SW-S8",318536,5934171,2009-07-29 13:11:00,2010-03-04 17:29:00
"SW-W1",317421,5961794,2010-08-01 05:33:00,2010-09-29 13:54:00
"SW-W10",350167,5930004,2010-07-19 01:41:00,2010-10-01 11:28:00
"SW-W2",311570,5974466,2009-07-19 23:46:00,2009-12-03 18:21:00
"SW-W3",321931,5969550,2009-07-28 06:36:00,2010-03-26 19:43:00
"SW-W4",330443,5941483,2010-07-30 14:55:00,2010-09-22 15:39:00
"SW-W5",340240,5960928,2010-07-28 16:25:00,2010-09-29 12:28:00
"SW-W6",334820,5985576,2010-07-15 14:45:00,2010-09-29 13:32:00
"SW-W7",322981,5925736,2010-08-14 14:18:00,2010-09-29 14:49:00
"SW-W8",340672,5954485,2009-07-26 11:50:00,2010-03-20 11:49:00
"SW-W9",365533,5950399,2010-07-29 09:59:00,2010-09-29 11:24:00
