"site","radius","bpsdl","cultivation","disturbedvegetation","harvestareas","industrial_sites","landfill","mine_sites","othervegsurfacesrecreation","pipelines","railways","reservoirs","residential_areas","roads","seismiclines","transmissionlines","verge","wellsites","wind_gen_facilities","dense_conifer","moderate_conifer","open_conifer","mixed","broadleaf","treed_wetland","shrub","herb","open_wetland","barren","water","shadow_or_no_data","snow_or_ice","regeneration","cloud_or_no_data","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"SW-E1",500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229183118,0.687549354,0.114591559,0.114591559,0,0,5.193165712,0,92.7441175,0.916732472,0,0,0,0,3268.333333,2908.866667,3.679775224
"SW-E1",4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41311403,19.00832558,4.964790096,2.055891135,0.371814879,8.453609466,4.546920071,7.42188434,0.16671019,47.06723961,1.380987392,0,0.148694546,0,0,4349.089394,4465.544697,3.901790358
"SW-E1",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05729578,0.171887339,0.02864789,0.02864789,2.309741598,1.441170501,7.345533981,0,88.38781699,0.229183118,0,0,0,0,2974.107143,2964.892857,4.525246717
"SW-E1",1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364689361,0.492133363,0.526989961,0.567480358,2.486958596,4.41024757,9.811627556,0,81.02814991,0.146677196,0,0.164981343,0,0,3382.483516,3441,4.391460106
"SW-E1",750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101859164,0.305577491,0.050929582,0.050929582,0.000462399,0.240938852,6.339821176,0,92.5019556,0.407436654,0,0,0,0,2846.28125,2791.96875,4.034831065
"SW-E1",4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.900393242,20.53618368,5.016453809,2.206173972,0.419615671,9.032387953,4.933833398,6.631083036,0.117241737,44.8482208,1.201048041,0,0.157342176,0,0,4600.860952,4676.733333,3.837514996
"SW-E1",4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.254846913,21.38197283,5.134787618,2.391020298,0.472317297,9.100680832,5.320729704,6.656018274,0.102058107,42.86288065,1.145406673,0,0.177258818,0,0,4775.332618,4818.5,3.736762725
"SW-E1",5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.297649336,18.20096798,4.862747816,2.011198933,0.380082143,8.228156531,4.488922042,7.792167292,0.153552689,47.97495365,1.434661746,0,0.174921883,0,0,4307.552361,4407.856263,3.918752442
"SW-E1",1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.744661499,5.930577582,2.273762025,2.949811305,0.84320666,5.071400937,6.334083735,11.38043457,0,63.31274417,0.075070067,0,0.084189717,0,0,4346.41573,4359.539326,4.185922721
"SW-E1",3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.383991126,23.92376687,4.700440336,2.840217447,0.581457465,8.947805175,4.876149296,6.67075983,0.065513055,40.35916052,0.52074744,0,0.129962822,0,0,5102.862237,5103.009724,3.719244128
"SW-E1",3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.067394377,23.44347257,5.029733988,2.714196237,0.551895258,9.218233461,5.216322323,6.77243411,0.12967164,40.10198066,0.530486473,0,0.224154143,0,0,5034.0625,5042.540278,3.691914035
"SW-E1",1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161640023,2.86147293,1.531884669,1.618606724,0.705731816,3.405311444,5.495007253,11.03823506,0,72.9655951,0.101859164,0,0.114591559,0,0,3851.984615,3818.815385,4.258596891
